,year,business_alt,business total,residential_alt,residential,public and ag_alt,public and ag,lulucf_alt,lulucf,other energy supply_alt,other energy supply,business_reductions,residential_reductions,public_ag_reductions,lulucf_reductions,other_energy_reductions
0,1990,131.3760723022889,131.3760723022889,78.37729414737915,78.37729414737915,19.907514689051013,19.907514689051013,-4.376946830213925,-4.376946830213925,39.1142437323189,39.1142437323189,0.0,0.0,0.0,0.0,0.0
1,1991,131.83788257959347,134.0659329812746,87.0898244662508,87.0898244662508,20.861793259856896,20.861793259856896,-4.392332577359398,-4.677508186049947,39.793745324212324,39.793745324212324,-2.228050401681145,0.0,0.0,0.28517560869054837,0.0
2,1992,132.17253436105972,130.1863748413058,84.45441052456229,84.45441052456229,21.508178078441404,21.508178078441404,-4.403481891145731,-5.906000980853044,40.79838912192264,40.79838912192264,1.986159519753926,0.0,0.0,1.502519089707313,0.0
3,1993,132.46954355531025,128.2225993196903,88.469270274012,88.469270274012,19.774513132966803,19.774513132966803,-4.413377098305891,-6.763172626153541,42.47380559125037,42.47380559125037,4.246944235619964,0.0,0.0,2.3497955278476503,0.0
4,1994,132.80970400807635,129.0870964024196,84.12858090770094,84.12858090770094,19.90633007773593,19.90633007773593,-4.424709939891176,-6.9604828193929045,45.071986386167964,45.071986386167964,3.722607605656748,0.0,0.0,2.535772879501729,0.0
5,1995,133.18314601661243,126.6482028506291,79.71605414932907,79.71605414932907,19.717884923424855,19.717884923424855,-4.437151595261795,-7.176943140845948,47.24191845336267,47.24191845336267,6.5349431659833215,0.0,0.0,2.7397915455841533,0.0
6,1996,133.50356706388735,129.31898770576407,90.83429609615753,90.83429609615753,20.831807006086652,20.831807006086652,-4.447826795567501,-7.775919555765876,49.76282418578762,49.76282418578762,4.184579358123273,0.0,0.0,3.328092760198375,0.0
7,1997,133.84739996418668,124.96140058284627,83.66368361364738,83.66368361364738,19.65161037936421,19.65161037936421,-4.459281989018753,-8.849001242441627,48.11987417611829,48.11987417611829,8.885999381340412,0.0,0.0,4.389719253422874,0.0
8,1998,134.2162514133062,124.28130361315323,85.54453420726514,85.54453420726514,19.705765521473058,18.93007595433824,-4.471570704556912,-9.203451344294459,48.26898333520336,48.26898333520336,9.934947800152969,0.0,0.775689567134819,4.731880639737547,0.0
9,1999,134.69711251218942,126.75171560108183,85.85101750037761,85.35019105587493,19.776366033432012,18.87973452856521,-4.487591152007094,-9.325812505605711,46.09174612514215,46.09174612514215,7.9453969111075935,0.5008264445026782,0.8966315048668037,4.838221353598617,0.0
10,2000,135.16007042934814,125.68822101981658,86.14608995966536,85.59151282173814,19.84433798217722,17.535563837362076,-4.503015134110683,-9.967998254313805,45.27074048252024,45.27074048252024,9.471849409531558,0.5545771379272253,2.3087741448151426,5.464983120203122,0.0
11,2001,135.68086939515533,121.81197963064581,86.47802818977141,87.86172509238749,19.92080221207453,17.537482598698105,-4.5203661581032675,-10.973188251575444,45.42267482710278,45.42267482710278,13.868889764509518,-1.3836969026160801,2.3833196133764254,6.452822093472176,0.0
12,2002,136.260886577436,110.37031383416776,86.84770994714383,84.43518923339258,20.005960920294232,15.792816893948121,-4.539690105934585,-11.397612933877282,47.738967914023135,47.738967914023135,25.890572743268237,2.412520713751249,4.213144026346111,6.857922827942697,0.0
