,year,business_alt,business total,residential_alt,residential,public and ag_alt,public and ag,lulucf_alt,lulucf,other energy supply_alt,other energy supply,business_reductions,residential_reductions,public_ag_reductions,lulucf_reductions,other_energy_reductions
13,2003,136.88290737837804,113.81970148319962,87.24416327618191,85.24618443387533,20.097286642207724,16.433717374236302,-4.560413453232912,-12.277187269052893,46.1225303121937,46.1225303121937,23.063205895178413,1.9979788423065798,3.663569267971422,7.716773815819981,0.0
14,2004,137.60293662286335,113.61094785079526,87.70308360577322,86.95881278050261,20.203002062740058,17.347946786740227,-4.584402065954259,-13.248836452630675,44.489571598764854,44.489571598764854,23.991988772068098,0.7442708252706041,2.855055275999831,8.664434386676415,0.0
15,2005,138.66542159982302,113.28434318661658,88.38027270544748,82.46052106608354,20.358997179617383,17.27942640166947,-4.61979999017712,-13.215017736420359,45.98435123833082,45.98435123833082,25.38107841320644,5.919751639363938,3.0795707779479145,8.59521774624324,0.0
16,2006,139.61520834310647,109.46782476058557,88.9856320691226,79.85486194886744,20.498445828059456,15.95447827849004,-4.651443241513089,-13.749342594483943,46.299320368347246,42.396836572741336,30.147383582520902,9.130770120255164,4.543967549569416,9.097899352970854,3.90248379560591
17,2007,140.7444859595769,108.78883334187465,89.70539235652754,76.33125710606095,20.66424750769576,15.093955953608042,-4.689066440298243,-14.867952118701382,46.67381242240254,41.53394126118059,31.955652617702256,13.374135250466594,5.570291554087717,10.17888567840314,5.139871161221954
18,2008,141.90291362834242,104.66685649301081,90.44373182208295,78.2064336434547,20.834329027436493,15.194203654508593,-4.727660807019518,-14.21763174611175,47.057971242893814,40.256993123762896,37.236057135331606,12.23729817862825,5.6401253729278995,9.489970939092231,6.800978119130917
19,2009,142.90526227694534,86.44177298656278,91.08259222352551,75.01940361820112,20.9814948678779,14.251036491427868,-4.761055219437154,-14.861865831129991,47.390370999003466,38.977233211838154,56.463489290382554,16.063188605324385,6.730458376450031,10.100810611692838,8.413137787165311
20,2010,144.05060685137366,88.82435055058258,91.8125930028244,84.47686000588897,21.149655514500896,14.84033415330818,-4.799213707635918,-16.054456335244286,47.77019119203922,40.008709749212926,55.22625630079108,7.335732996935434,6.3093213611927155,11.255242627608368,7.761481442826295
21,2011,145.25700586604208,81.55156359352627,92.58150765132041,67.29524240454472,21.326780235673336,13.534694292544893,-4.839406295606399,-16.561124628812035,48.17025831320073,38.31968736639422,63.70544227251581,25.286265246775685,7.792085943128443,11.721718333205636,9.850570946806513
22,2012,146.22079381554602,82.80512886843978,93.19579087221742,73.65481873239001,21.468284555346674,14.334487873245674,-4.871516013431371,-14.216218636118937,48.48987053575727,35.06623037226586,63.41566494710624,19.540972139827403,7.133796682101,9.344702622687565,13.423640163491406
23,2013,147.1405123946511,85.517119443562,93.78198588677667,74.46619834211629,21.60331856557079,14.249201467842646,-4.902157508864727,-15.089220351179671,48.79486843425312,34.07259052038572,61.6233929510891,19.31578754466038,7.354117097728146,10.187062842314944,14.722277913867401
24,2014,148.26772425938407,83.30059116629056,94.50042953950951,61.96767001519796,21.76881694945166,13.301102163461902,-4.939711884725274,-15.928864449417581,49.16867544186807,32.64377189343445,64.96713309309351,32.53275952431155,8.46771478598976,10.989152564692308,16.52490354843362
25,2015,149.44566180566989,82.00053869973424,95.25120388807905,64.54102433100316,21.94176292910481,13.45724629243132,-4.978956245734504,-16.569941845968486,49.55930414540705,33.44675267014401,67.44512310593565,30.71017955707589,8.484516636673492,11.590985600233982,16.11255147526304
26,2016,150.68075181669172,75.87502637270359,96.03840512924285,67.0074958668036,22.123100091324922,13.675005068342124,-5.02010470765786,-16.025594961250835,49.96888580046224,32.541383305453316,74.80572544398814,29.030909262439252,8.448095022982798,11.005490253592974,17.427502495008923
27,2017,151.58073099030565,75.60828117228726,96.61201896804666,64.14468365079638,22.25523594210824,13.457672014055976,-5.050088561811639,-16.025594961250835,50.267337699639235,33.20571874656459,75.97244981801839,32.467335317250274,8.797563928052263,10.975506399439197,17.061618953074642
