,year,vehicle_miles,vehicle_miles_alt,fuel_economy,fuel_economy_alt,fuel_econ_co2_reduction,miles_driven_co2_reduction,other_co2_reduction
0,1990,255.3,255.3,33.15584415584416,33.15584415584416,0.0,0.0,0.0
1,1991,255.8,255.8,33.6048344718865,33.15584415584416,0.9564897353837525,0.0,0.0
2,1992,256.1,256.1,32.97707957764616,33.15584415584416,-0.3891099089432949,0.0,0.0
3,1993,256.2,256.2,32.62032085561497,33.15584415584416,-1.1814473160084071,0.0,0.0
4,1994,261.9,261.9,33.25292026409345,33.15584415584416,0.21555549607009705,0.0,0.0
5,1995,267.0,267.0,34.18693982074264,33.15584415584416,2.276494191369976,0.0,0.0
6,1996,274.1,274.1,33.856225296442695,33.15584415584416,1.6053496362007957,0.0,0.0
7,1997,279.8,279.8,34.00583373845406,33.15584415584416,1.9833659376307191,0.0,0.0
8,1998,284.9,284.9,35.0,33.15584415584416,4.261194641487878,0.0,0.0
9,1999,290.2,290.2,35.269810403500244,33.15584415584416,4.941636652421417,0.0,0.0
10,2000,289.7,289.7,35.49375153148738,33.15584415584416,5.425722046603152,0.0,0.0
11,2001,293.7,293.7,36.08108108108108,33.15584415584416,6.781377849487146,0.0,0.0
12,2002,300.6,300.6,36.14718614718615,33.15584415584416,7.0970836964843524,0.0,0.0
13,2003,302.4,302.4,36.36363636363635,33.15584415584416,7.635013889462869,0.0,0.0
14,2004,306.9,306.9,36.61417322834646,33.15584415584416,8.312971135976547,0.0,0.0
15,2005,306.9,306.9,36.328125,33.15584415584416,7.705631476186408,0.0,2.148786721991705
16,2006,311.4,311.4,36.86079545454545,33.15584415584416,9.024557240786924,0.0,2.3724116182572654
17,2007,314.1,314.1,36.89217758985202,33.15584415584416,9.192358740305474,0.0,2.1193991701244848
18,2008,311.0,316.68526739629255,38.000977517106556,33.15584415584416,11.501194716428442,1.619403318585538,3.270180912863072
19,2009,308.1,318.92221265478463,38.90151515151515,33.15584415584416,13.268617165061514,3.048475586067206,4.2006473029045654
20,2010,303.2,321.4782824601144,38.931689779147405,33.15584415584416,13.289690955631794,5.093148088776664,4.849726141078843
21,2011,303.8,324.1706076899368,39.34213934213934,33.15584415584416,14.178065402412793,5.665975058063817,5.60675186721992
22,2012,302.6,326.32149689085463,39.298701298701296,33.15584415584416,14.147264498782683,6.579254139583686,6.532199170124482
23,2013,303.7,328.3740363116876,39.782551742205925,33.15584415584416,15.164156496208928,6.840446888343946,7.351910373443985
24,2014,311.6,330.88963928042,40.35224035224035,33.15584415584416,16.528828696761387,5.403007899985901,7.5986290456431576
25,2015,316.7,333.51844694393753,40.210766886744544,33.15584415584416,16.498686631322943,4.742043111109559,7.751950207468884
26,2016,322.9,336.27480197850264,39.99256873916274,33.15584415584416,16.348526661136162,3.803670341420751,8.212710373443985
27,2017,327.1,338.2832888936726,40.51275699777062,33.15584415584416,17.566632728439995,3.1979650218248588,8.32985228215768
